STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2012,95.467955421311,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2013,96.51827947915258,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2014,98.3024168556335,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2015,120.0607016650187,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2016,163.6564341165789,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2017,165.9159506914978,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2018,252.855747731297,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2019,364.8258049808865,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2020,578.2587802801105,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2021,631.441955506727,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2022,460.5675116314618,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2023,685.0202377614488,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2024,869.8461895900078,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2025,911.99303781631,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1957,1.718269608563757,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1958,1.708256609835541,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1959,1.708876571527879,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1960,1.709617028410911,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1961,1.712910957017824,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1962,1.709524251876302,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1963,1.714117762967674,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1964,1.718882994980044,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1965,1.71660560811339,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1966,1.718442566314444,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AIA,XDC_USD,PA_RT,A,1967,1.75072474621063,0,,,,,,R,OL,true,
